Rule,Antecedent Support,Consequent Support,Support,Confidence,Lift,Conviction
"{o} --- > {b,l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,S,m} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,S,m} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,m} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,S} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S,m} --- > {b,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o,m} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S,m} --- > {b,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,m} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,S} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m,S} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {b,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {b,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {b,y,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {y,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {b,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y} --- > {o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {y,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {y,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {b,y,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,S,m} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S,m} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,m} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,S} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,S} --- > {b,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,m} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {b,l,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y} --- > {l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b,y,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {y,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {l,y,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,m,S,l} --- > {b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,m,S,l,b} --- > {o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,S,m} --- > {l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,l,o,m} --- > {b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,o,m} --- > {l,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,S,m} --- > {b,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,o,m} --- > {y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,l,o,S} --- > {b,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,l,m,S} --- > {b,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,m,S} --- > {l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
